Date,Close,SMA_50
2022-09-12,14.487593650817873,
2022-09-13,13.115242004394531,
2022-09-14,13.112247467041016,
2022-09-15,12.91348361968994,
2022-09-16,13.182162284851074,
2022-09-17,13.182162284851074,
2022-09-18,13.182162284851074,
2022-09-19,13.36594295501709,
2022-09-20,13.16018772125244,
2022-09-21,13.245086669921877,
2022-09-22,12.545926094055176,
2022-09-23,12.500980377197266,
2022-09-24,12.500980377197266,
2022-09-25,12.500980377197266,
2022-09-26,12.21332550048828,
2022-09-27,12.398106575012209,
2022-09-28,12.72071647644043,
2022-09-29,12.20533561706543,
2022-09-30,12.124432563781738,
2022-10-01,12.124432563781738,
2022-10-02,12.124432563781738,
2022-10-03,12.496986389160156,
2022-10-04,13.151199340820312,
2022-10-05,13.19314956665039,
2022-10-06,13.11424446105957,
2022-10-07,12.06151008605957,
2022-10-08,12.06151008605957,
2022-10-09,12.06151008605957,
2022-10-10,11.655996322631836,
2022-10-11,11.572097778320312,
2022-10-12,11.486199378967283,
2022-10-13,11.945648193359377,
2022-10-14,11.213528633117676,
2022-10-15,11.213528633117676,
2022-10-16,11.213528633117676,
2022-10-17,11.873733520507812,
2022-10-18,11.95263957977295,
2022-10-19,12.036538124084473,
2022-10-20,12.179368019104004,
2022-10-21,12.45103931427002,
2022-10-22,12.45103931427002,
2022-10-23,12.45103931427002,
2022-10-24,12.583882331848145,
2022-10-25,13.245086669921877,
2022-10-26,12.88052463531494,
2022-10-27,13.16018772125244,
2022-10-28,13.817400932312012,
2022-10-29,13.817400932312012,
2022-10-30,13.817400932312012,
2022-10-31,13.480804443359377,12.590892868041992
2022-11-01,13.526750564575195,12.571676006317139
2022-11-02,13.203136444091797,12.573433895111084
2022-11-03,13.404892921447754,12.579286804199219
2022-11-04,14.139013290405272,12.603797397613526
2022-11-05,14.139013290405272,12.62293441772461
2022-11-06,14.139013290405272,12.642071437835693
2022-11-07,14.28383731842041,12.66410493850708
2022-11-08,14.584479331970217,12.688475666046143
2022-11-09,13.75946807861328,12.70046127319336
2022-11-10,15.731101036071776,12.750181560516358
2022-11-11,16.307405471801758,12.82541114807129
2022-11-12,16.307405471801758,12.901539649963379
2022-11-13,16.307405471801758,12.977668151855468
2022-11-14,16.275449752807617,13.053157539367676
2022-11-15,16.64600372314453,13.141811103820801
2022-11-16,15.890908241271973,13.211667137145996
2022-11-17,15.65818691253662,13.27041654586792
2022-11-18,15.390510559082031,13.334120044708252
2022-11-19,15.390510559082031,13.399441604614259
2022-11-20,15.390510559082031,13.464763164520264
2022-11-21,15.29862117767334,13.528246936798096
2022-11-22,16.018754959106445,13.598682308197022
2022-11-23,16.499177932739258,13.6656418800354
2022-11-24,16.499177932739258,13.731762447357177
